train_loss,step,epoch
0.20775353908538818,49,5
0.13369888067245483,99,11
0.10441818833351135,149,16
0.084955133497715,199,22
0.07494558393955231,249,27
0.0726967602968216,299,33
0.06386901438236237,349,38
0.06485969573259354,399,44
0.06463325023651123,449,49
