train_loss_step,train_acc_step,epoch,step,train_acc_epoch,train_loss_epoch,test_acc,test_loss
0.40783923864364624,0.875,12,1699,,,,
,,12,1702,0.9415708780288696,0.1707117110490799,,
0.1774396151304245,0.875,13,1749,,,,
0.1591801941394806,1.0,13,1799,,,,
,,13,1833,0.9272030591964722,0.17339372634887695,,
0.06369953602552414,1.0,14,1849,,,,
0.1691744178533554,1.0,14,1899,,,,
0.09906774759292603,1.0,14,1949,,,,
,,14,1964,0.9262452125549316,0.1896267831325531,,
0.05775218456983566,1.0,15,1999,,,,
0.15269851684570312,1.0,15,2049,,,,
,,15,2095,0.9492337107658386,0.15402920544147491,,
0.18676705658435822,0.875,16,2099,,,,
0.22545917332172394,0.875,16,2149,,,,
0.13340657949447632,0.875,16,2199,,,,
,,16,2226,0.9511494040489197,0.15345793962478638,,
0.32972022891044617,0.875,17,2249,,,,
0.13031448423862457,0.875,17,2299,,,,
0.10972513258457184,1.0,17,2349,,,,
,,17,2357,0.9549808502197266,0.1429586261510849,,
0.4517439901828766,0.75,18,2399,,,,
0.08237244188785553,1.0,18,2449,,,,
,,18,2488,0.9377394914627075,0.15740671753883362,,
0.12425319105386734,0.875,19,2499,,,,
0.2681053876876831,0.875,19,2549,,,,
0.0385759174823761,1.0,19,2599,,,,
,,19,2619,0.9511494040489197,0.1452552229166031,,
0.011440589092671871,1.0,20,2649,,,,
0.3035125434398651,0.875,20,2699,,,,
0.14978855848312378,0.875,20,2749,,,,
,,20,2750,0.9454023241996765,0.15253882110118866,,
0.0863933265209198,1.0,21,2799,,,,
0.05362565815448761,1.0,21,2849,,,,
,,21,2881,0.954023003578186,0.12808102369308472,,
0.17335322499275208,0.875,22,2899,,,,
0.06842195242643356,1.0,22,2949,,,,
0.0765886902809143,1.0,22,2999,,,,
,,22,3012,0.9434865713119507,0.14769114553928375,,
0.06972081959247589,1.0,23,3049,,,,
0.04778316989541054,1.0,23,3099,,,,
,,23,3143,0.9530651569366455,0.14541269838809967,,
0.18939638137817383,1.0,24,3149,,,,
0.04535992443561554,1.0,24,3199,,,,
0.07698102295398712,1.0,24,3249,,,,
,,24,3274,0.9501915574073792,0.14135418832302094,,
0.13033834099769592,1.0,25,3299,,,,
0.054379574954509735,1.0,25,3349,,,,
0.21089768409729004,0.875,25,3399,,,,
,,25,3405,0.9329501986503601,0.16164302825927734,,
0.054931581020355225,1.0,26,3449,,,,
0.22217212617397308,0.875,26,3499,,,,
,,26,3536,0.9568965435028076,0.12560687959194183,,
0.07485798746347427,1.0,27,3549,,,,
0.2714454233646393,0.875,27,3599,,,,
0.29627805948257446,0.875,27,3649,,,,
,,27,3667,0.9511494040489197,0.14467398822307587,,
0.03972005099058151,1.0,28,3699,,,,
0.06139586493372917,1.0,28,3749,,,,
,,28,3798,0.9636015295982361,0.10788469761610031,,
0.16702310740947723,0.875,29,3799,,,,
0.1018526554107666,1.0,29,3849,,,,
0.04562900960445404,1.0,29,3899,,,,
,,29,3929,0.9588122367858887,0.12025454640388489,,
0.04577187821269035,1.0,30,3949,,,,
0.04484299570322037,1.0,30,3999,,,,
0.06811553239822388,1.0,30,4049,,,,
,,30,4060,0.9473180174827576,0.13589072227478027,,
0.13893169164657593,1.0,31,4099,,,,
0.020705554634332657,1.0,31,4149,,,,
,,31,4191,0.959770143032074,0.10793357342481613,,
0.03191830962896347,1.0,32,4199,,,,
0.12169872969388962,1.0,32,4249,,,,
0.1054869219660759,1.0,32,4299,,,,
,,32,4322,0.9626436829566956,0.11002326011657715,,
0.07627455145120621,1.0,33,4349,,,,
0.27427607774734497,0.875,33,4399,,,,
0.328700453042984,0.875,33,4449,,,,
,,33,4453,0.954023003578186,0.1289551854133606,,
0.08136172592639923,1.0,34,4499,,,,
0.6529593467712402,0.75,34,4549,,,,
,,34,4584,0.959770143032074,0.11253517866134644,,
0.07075231522321701,1.0,35,4599,,,,
0.10669872164726257,1.0,35,4649,,,,
0.013066736981272697,1.0,35,4699,,,,
,,35,4715,0.9559386968612671,0.1221594288945198,,
0.027142787352204323,1.0,36,4749,,,,
0.01602049358189106,1.0,36,4799,,,,
,,36,4846,0.967432975769043,0.10763747245073318,,
0.09841153770685196,1.0,37,4849,,,,
0.021817944943904877,1.0,37,4899,,,,
0.0247320719063282,1.0,37,4949,,,,
,,37,4977,0.9722222089767456,0.08971865475177765,,
0.22798794507980347,0.875,38,4999,,,,
0.14388123154640198,0.875,38,5049,,,,
0.022310955449938774,1.0,38,5099,,,,
,,38,5108,0.9511494040489197,0.12969107925891876,,
0.017886923626065254,1.0,39,5149,,,,
0.5960498452186584,0.75,39,5199,,,,
,,39,5239,0.9703065156936646,0.10169404000043869,,
0.026891032233834267,1.0,40,5249,,,,
0.10090745985507965,1.0,40,5299,,,,
0.11881803721189499,0.875,40,5349,,,,
,,40,5370,0.9444444179534912,0.1293763816356659,,
0.07084459066390991,1.0,41,5399,,,,
0.03552223742008209,1.0,41,5449,,,,
0.017112402245402336,1.0,41,5499,,,,
,,41,5501,0.9655172228813171,0.09378696233034134,,
0.29374241828918457,0.75,42,5549,,,,
0.022950727492570877,1.0,42,5599,,,,
,,42,5632,0.9722222089767456,0.09852570295333862,,
0.03011643886566162,1.0,43,5649,,,,
0.07567766308784485,1.0,43,5699,,,,
0.03549690544605255,1.0,43,5749,,,,
,,43,5763,0.9645593762397766,0.10959136486053467,,
0.0630110651254654,1.0,44,5799,,,,
0.020357532426714897,1.0,44,5849,,,,
,,44,5894,0.9645593762397766,0.09150993824005127,,
0.10036861151456833,1.0,45,5899,,,,
0.022313889116048813,1.0,45,5949,,,,
0.40123891830444336,0.75,45,5999,,,,
,,45,6025,0.9530651569366455,0.12209875136613846,,
0.06048707664012909,1.0,46,6049,,,,
0.06272951513528824,1.0,46,6099,,,,
0.018377946689724922,1.0,46,6149,,,,
,,46,6156,0.9636015295982361,0.09393349289894104,,
0.03234614059329033,1.0,47,6199,,,,
0.08970611542463303,1.0,47,6249,,,,
,,47,6287,0.959770143032074,0.10307636111974716,,
0.2752678096294403,1.0,48,6299,,,,
0.07503398507833481,1.0,48,6349,,,,
0.02498359978199005,1.0,48,6399,,,,
,,48,6418,0.9664750695228577,0.10542076081037521,,
0.042696259915828705,1.0,49,6449,,,,
0.1667245328426361,0.875,49,6499,,,,
0.046908557415008545,1.0,49,6549,,,,
,,49,6549,0.961685836315155,0.10660757124423981,,
,,50,6550,,,0.992337167263031,0.03582010418176651
