train_loss_step,train_acc_step,epoch,step,train_acc_epoch,train_loss_epoch,test_acc,test_loss
0.23916125297546387,1.0,0,49,,,,
0.347476065158844,0.875,0,99,,,,
,,0,130,0.8170498013496399,0.4487176835536957,,
0.594183623790741,0.75,1,149,,,,
0.29270216822624207,1.0,1,199,,,,
0.27646565437316895,0.875,1,249,,,,
,,1,261,0.8563218116760254,0.35341784358024597,,
0.18036434054374695,1.0,2,299,,,,
0.24127992987632751,0.875,2,349,,,,
,,2,392,0.8908045887947083,0.2853778898715973,,
0.388359397649765,0.875,3,399,,,,
0.3427332639694214,0.75,3,449,,,,
0.1317060887813568,1.0,3,499,,,,
,,3,523,0.9042145609855652,0.2785242199897766,,
0.44250214099884033,0.75,4,549,,,,
0.15018682181835175,1.0,4,599,,,,
0.17982660233974457,1.0,4,649,,,,
,,4,654,0.9022988677024841,0.2540070414543152,,
0.329115092754364,0.875,5,699,,,,
0.3797239065170288,0.75,5,749,,,,
,,5,785,0.9137930870056152,0.23039963841438293,,
0.05595622584223747,1.0,6,799,,,,
0.3020998239517212,0.875,6,849,,,,
0.3169406056404114,0.75,6,899,,,,
,,6,916,0.9147509336471558,0.23339532315731049,,
0.11120033264160156,1.0,7,949,,,,
0.4266534447669983,0.75,7,999,,,,
,,7,1047,0.9348658919334412,0.19780951738357544,,
0.06702426075935364,1.0,8,1049,,,,
0.14360421895980835,1.0,8,1099,,,,
0.18935593962669373,1.0,8,1149,,,,
,,8,1178,0.9243295192718506,0.20122118294239044,,
0.05865200236439705,1.0,9,1199,,,,
0.08045946806669235,1.0,9,1249,,,,
0.04622655361890793,1.0,9,1299,,,,
,,9,1309,0.9176245331764221,0.20729845762252808,,
0.998233437538147,0.75,10,1349,,,,
0.1092747300863266,1.0,10,1399,,,,
,,10,1440,0.9406130313873291,0.18215133249759674,,
0.2989378869533539,0.875,11,1449,,,,
0.058689527213573456,1.0,11,1499,,,,
0.40012127161026,0.75,11,1549,,,,
,,11,1571,0.9329501986503601,0.18884487450122833,,
0.18415136635303497,1.0,12,1599,,,,
0.133986234664917,1.0,12,1649,,,,
