train_loss_step,epoch,train_acc_step,step,train_acc_epoch,train_loss_epoch
0.3340107500553131,0,1.0,0,,
0.4119831621646881,0,0.875,1,,
0.6204891204833984,0,0.75,2,,
0.7683423757553101,0,0.75,3,,
0.9606194496154785,0,0.625,4,,
0.6250388622283936,0,0.75,5,,
0.1844099760055542,0,1.0,6,,
0.9274874925613403,0,0.5,7,,
0.40802860260009766,0,0.875,8,,
0.5803658962249756,0,0.75,9,,
0.4928605854511261,0,0.875,10,,
0.4485267400741577,0,0.875,11,,
0.5626562237739563,0,0.75,12,,
0.630220890045166,0,0.625,13,,
0.3910338282585144,0,0.875,14,,
0.4068446755409241,0,0.875,15,,
0.5565193891525269,0,0.75,16,,
0.32034561038017273,0,0.875,17,,
0.3189179003238678,0,0.875,18,,
0.799452543258667,0,0.625,19,,
0.49752622842788696,0,0.75,20,,
0.3527078628540039,0,0.875,21,,
0.6285191178321838,0,0.75,22,,
0.789318323135376,0,0.625,23,,
0.3684832453727722,0,0.875,24,,
0.3626287579536438,0,0.875,25,,
0.24344485998153687,0,1.0,26,,
0.23813553154468536,0,1.0,27,,
0.7190872430801392,0,0.625,28,,
0.30671775341033936,0,0.875,29,,
0.42647188901901245,0,0.75,30,,
0.5902739763259888,0,0.75,31,,
0.3167437016963959,0,0.875,32,,
0.7126082181930542,0,0.625,33,,
0.34384188055992126,0,0.875,34,,
0.45036450028419495,0,0.75,35,,
1.0350408554077148,0,0.375,36,,
0.33661195635795593,0,0.875,37,,
0.3742995858192444,0,0.875,38,,
0.44835567474365234,0,0.875,39,,
0.38822707533836365,0,0.875,40,,
0.37285536527633667,0,0.875,41,,
0.28978899121284485,0,1.0,42,,
0.4694841206073761,0,0.75,43,,
0.5792849063873291,0,0.75,44,,
1.005957007408142,0,0.5,45,,
0.6699239611625671,0,0.625,46,,
0.265231728553772,0,0.875,47,,
0.550731897354126,0,0.625,48,,
0.27706968784332275,0,0.875,49,,
0.2574152946472168,0,1.0,50,,
0.26388436555862427,0,1.0,51,,
0.37308335304260254,0,0.75,52,,
0.3167230784893036,0,0.875,53,,
0.43142613768577576,0,0.75,54,,
0.49930381774902344,0,0.75,55,,
0.2797185480594635,0,0.875,56,,
0.29164525866508484,0,0.875,57,,
0.2532113790512085,0,0.875,58,,
0.4164137840270996,0,0.875,59,,
0.32428330183029175,0,0.875,60,,
0.13394282758235931,0,1.0,61,,
0.12041307240724564,0,1.0,62,,
0.11322878301143646,0,1.0,63,,
0.08529706299304962,0,1.0,64,,
0.07423970848321915,0,1.0,65,,
0.061780527234077454,0,1.0,66,,
